Musarty DB ID,API,Model ID,Model Name,Provider,Context,Tags,Categories,Key Capabilities,Capabilities 1,Capabilities 2,Capabilities 3,Capabilities 4,Description,Logo Image url,Online,Idle,Ofline,UI Template ID,Use Case,Musarty ID,Template ID,API Endpoint URL
,AI Gateway,voyage/voyage-code-3,Voyage Code 3,voyage,128K,,,"General, AI, Assistant",General,AI,Assistant,,"voyage Voyage Code 3 - AI model available through Vercel AI Gateway",,,,,,,voyage/voyage-code-3,voyage/voyage-code-3,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-finance-2,Voyage Finance 2,voyage,128K,,,"General, AI, Assistant",General,AI,Assistant,,"voyage Voyage Finance 2 - AI model available through Vercel AI Gateway",,,,,,,voyage/voyage-finance-2,voyage/voyage-finance-2,https://gateway.ai.vercel.com/v1
,AI Gateway,voyage/voyage-law-2,Voyage Law 2,voyage,128K,,,"General, AI, Assistant",General,AI,Assistant,,"voyage Voyage Law 2 - AI model available through Vercel AI Gateway",,,,,,,voyage/voyage-law-2,voyage/voyage-law-2,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-2,Grok 2,xai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"xai Grok 2 - AI model available through Vercel AI Gateway",,,,,,,xai/grok-2,xai/grok-2,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-2-vision,Grok 2 Vision,xai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"xai Grok 2 Vision - AI model available through Vercel AI Gateway",,,,,,,xai/grok-2-vision,xai/grok-2-vision,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-3,Grok 3,xai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"xai Grok 3 - AI model available through Vercel AI Gateway",,,,,,,xai/grok-3,xai/grok-3,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-3-fast,Grok 3 Fast,xai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"xai Grok 3 Fast - AI model available through Vercel AI Gateway",,,,,,,xai/grok-3-fast,xai/grok-3-fast,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-3-mini,Grok 3 Mini,xai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"xai Grok 3 Mini - AI model available through Vercel AI Gateway",,,,,,,xai/grok-3-mini,xai/grok-3-mini,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-3-mini-fast,Grok 3 Mini Fast,xai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"xai Grok 3 Mini Fast - AI model available through Vercel AI Gateway",,,,,,,xai/grok-3-mini-fast,xai/grok-3-mini-fast,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-4,Grok 4,xai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"xai Grok 4 - AI model available through Vercel AI Gateway",,,,,,,xai/grok-4,xai/grok-4,https://gateway.ai.vercel.com/v1
,AI Gateway,xai/grok-code-fast-1,Grok Code Fast 1,xai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"xai Grok Code Fast 1 - AI model available through Vercel AI Gateway",,,,,,,xai/grok-code-fast-1,xai/grok-code-fast-1,https://gateway.ai.vercel.com/v1
,AI Gateway,zai/glm-4.5,Glm 4.5,zai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"zai Glm 4.5 - AI model available through Vercel AI Gateway",,,,,,,zai/glm-4.5,zai/glm-4.5,https://gateway.ai.vercel.com/v1
,AI Gateway,zai/glm-4.5-air,Glm 4.5 Air,zai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"zai Glm 4.5 Air - AI model available through Vercel AI Gateway",,,,,,,zai/glm-4.5-air,zai/glm-4.5-air,https://gateway.ai.vercel.com/v1
,AI Gateway,zai/glm-4.5v,Glm 4.5v,zai,128K,,,"General, AI, Assistant",General,AI,Assistant,,"zai Glm 4.5v - AI model available through Vercel AI Gateway",,,,,,,zai/glm-4.5v,zai/glm-4.5v,https://gateway.ai.vercel.com/v1
